VIV_SEL,HOGAR,R_SEL,BPCOD,ND_TIPO,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_7,BP1_8,BP1_20,BP1_21,BP1_28,BP1_33,EST,UPM,CIUDAD,DOM,FAC_DEL,CLUSTERS
5,1,2,2,1,1,1,1,4,1,2,1,1,2,4,2,1,163,1,24,1,446,1
5,1,2,2,2,4,1,1,4,1,2,1,1,2,4,2,1,163,1,24,1,446,1
5,1,2,2,3,8,1,1,4,1,2,1,1,2,4,2,1,163,1,24,1,446,1
5,1,2,2,4,12,1,1,4,1,2,1,1,2,4,2,1,163,1,24,1,446,1
2,1,1,2,1,8,1,1,1,3,2,1,1,2,4,2,1,75,2,24,1,555,1
2,1,1,6,1,1,1,1,9,4,2,1,1,2,9,2,1,75,2,24,1,1093,1
3,1,5,5,1,12,1,1,3,2,2,1,1,2,3,2,1,75,3,24,1,2203,1
3,1,5,12,1,4,1,1,1,2,2,2,1,2,9,2,3,75,3,24,1,2203,1
4,1,1,1,1,4,1,1,2,1,2,1,1,1,4,2,1,75,3,24,1,413,1
4,1,1,10,1,7,1,1,3,1,2,1,1,2,7,2,2,75,3,24,1,414,1
2,1,1,8,1,9,1,1,2,2,1,2,1,2,4,1,3,231,4,24,1,824,1
3,1,1,8,1,11,1,1,2,3,1,1,1,2,3,2,3,231,4,24,1,854,1
4,1,1,8,1,6,1,1,9,2,1,1,1,2,4,2,5,231,4,24,1,897,1
5,1,1,8,1,6,1,1,1,2,1,1,1,2,4,2,3,231,4,24,1,862,1
1,1,1,3,1,1,1,10,4,2,2,1,1,2,7,2,1,75,5,24,1,569,1
3,1,2,2,1,11,1,1,3,3,2,1,1,2,4,2,1,75,6,24,1,413,1
3,1,2,10,1,12,1,1,2,3,2,1,1,2,4,1,2,75,6,24,1,817,1
3,1,2,2,2,12,1,1,4,3,2,1,1,2,4,2,1,75,6,24,1,413,1
4,1,1,2,1,11,1,1,2,3,2,1,1,2,4,2,1,75,6,24,1,413,1
1,1,1,2,1,12,1,1,4,1,2,1,1,2,4,2,1,75,7,24,1,426,1
3,1,1,1,1,6,1,1,3,1,2,1,1,1,4,2,1,75,7,24,1,426,1
3,1,1,2,1,2,1,1,4,1,2,1,1,1,4,2,1,75,7,24,1,426,1
3,1,1,2,2,4,1,1,4,1,2,1,1,2,4,2,1,75,7,24,1,426,1
3,1,1,2,3,9,1,1,4,1,2,1,1,2,4,2,1,75,7,24,1,426,1
