VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,DOM,EST,UPM,EST_SOC
1,1,1,2,5,2,1,1,1,1,3,1,1,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,1,6,3,3
1,1,2,2,5,2,1,11,1,1,4,1,1,1,4,2,1,2000,0,0,1,1,1,0,0,1,1,1,0,0,0,700,1,6,3,3
4,1,1,1,2,1,1,11,1,1,4,1,1,2,5,2,1,2500,0,0,0,0,0,0,0,0,0,1,0,0,0,175,1,6,3,3
5,1,1,1,3,1,1,12,1,1,3,1,1,2,7,2,5,5754,258,0,0,0,0,0,0,0,0,1,0,0,0,175,1,6,3,3
5,1,1,2,2,1,1,3,1,1,4,1,2,1,4,2,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1,6,3,3
5,1,2,2,2,1,1,10,1,1,2,4,2,2,8,2,1,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1,6,3,3
4,1,1,3,2,1,1,6,1,1,4,1,2,1,4,2,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1,6,4,3
4,1,2,3,2,1,1,99,1,1,2,1,1,1,4,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1,6,4,3
4,1,3,3,2,1,1,99,1,1,4,1,2,2,4,2,1,700,0,0,0,0,0,0,0,0,1,1,0,0,0,152,1,6,4,3
4,1,1,1,2,2,1,10,1,1,4,1,2,2,4,2,1,1200,0,0,0,1,0,0,0,0,0,0,0,0,0,236,1,5,5,2
1,1,1,2,3,2,1,4,1,1,3,2,1,2,3,2,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,209,1,5,6,2
1,1,2,2,3,2,1,12,1,1,9,2,1,2,5,2,5,5754,258,0,0,1,1,1,0,0,1,1,0,0,0,209,1,5,6,2
2,1,1,1,9,1,1,11,1,1,9,8,1,2,1,1,3,0,0,1,1,1,1,0,1,0,1,1,0,0,0,209,1,5,6,2
2,1,1,3,3,1,1,3,1,1,9,2,1,1,4,2,3,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,209,1,5,6,2
2,1,2,3,3,1,1,6,1,1,9,2,1,2,9,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,209,1,5,6,2
2,1,3,3,3,1,1,2,1,1,9,2,1,2,9,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,209,1,5,6,2
4,1,1,1,9,1,1,10,32,10,3,7,1,2,6,2,5,5754,258,1,0,1,1,0,1,1,1,1,0,0,0,418,1,5,6,2
5,1,1,5,3,1,1,1,1,1,4,2,1,2,6,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,1003,1,5,6,2
5,1,2,5,3,1,1,1,1,1,4,2,1,2,6,2,1,280,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,1,5,6,2
5,1,3,5,3,1,1,2,1,1,4,2,1,2,6,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,1003,1,5,6,2
5,1,4,5,3,1,1,2,1,1,4,2,1,2,6,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,1003,1,5,6,2
5,1,5,5,3,1,1,3,1,1,4,2,1,2,6,2,1,280,0,1,0,1,1,0,0,0,1,1,0,0,0,1003,1,5,6,2
3,1,1,1,2,1,1,5,1,1,4,2,2,2,7,2,1,6000,0,0,0,0,0,0,0,0,0,1,0,0,0,180,1,7,7,4
5,1,1,1,13,1,1,1,1,1,1,1,1,2,4,2,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,354,1,6,8,3
1,1,1,1,2,5,1,10,1,1,4,1,2,2,99,2,1,800,0,0,0,0,0,0,0,0,1,0,0,0,0,191,1,6,9,3
1,1,1,1,6,2,1,3,1,1,1,3,1,2,7,2,3,200,0,0,0,0,0,0,0,0,0,0,0,0,0,444,1,6,11,3
1,1,1,1,11,2,1,9,1,1,3,2,1,2,7,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,444,1,6,11,3
1,1,1,4,10,2,1,12,1,1,2,2,1,2,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,1,6,11,3
1,1,2,4,10,2,1,12,1,1,3,2,1,1,4,1,3,700,0,0,0,0,0,0,0,0,0,0,0,0,0,444,1,6,11,3
1,1,3,4,10,2,1,12,1,1,3,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,1,6,11,3
1,1,4,4,10,2,1,12,1,1,3,9,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,1,6,11,3
5,1,1,3,3,4,1,5,1,1,1,2,1,2,6,2,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,222,1,6,11,3
5,1,2,3,3,4,1,11,1,1,3,2,1,2,6,2,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,222,1,6,11,3
5,1,3,3,3,4,1,12,1,1,3,2,1,2,6,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,222,1,6,11,3
2,1,1,2,2,1,1,4,1,1,4,1,2,2,6,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1,5,15,2
2,1,2,2,2,1,1,5,1,1,4,1,2,2,4,2,1,1000,0,0,1,1,1,1,1,1,1,1,0,0,0,204,1,5,15,2
4,1,1,1,9,1,1,11,1,1,2,2,1,2,4,2,5,5754,258,1,1,1,1,0,1,1,1,1,0,0,0,408,1,5,15,2
5,2,1,1,5,1,1,99,1,1,3,1,1,2,8,2,1,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,227,1,5,17,2
5,3,1,1,8,2,1,9,1,1,2,4,1,2,9,2,1,1500,0,0,0,0,1,0,0,0,1,0,0,0,0,454,1,5,17,2
5,3,1,2,3,2,1,2,1,1,4,2,1,2,7,2,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,227,1,5,17,2
5,3,2,2,3,2,1,10,1,1,4,2,1,2,7,2,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,227,1,5,17,2
5,1,1,1,2,1,1,6,1,1,2,1,2,2,4,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,174,1,5,18,2
5,1,1,1,3,1,1,10,1,1,4,2,1,2,4,2,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,174,1,5,18,2
2,1,1,1,3,4,1,4,1,1,4,2,1,2,3,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,128,1,6,19,3
2,1,1,1,5,4,1,9,9,7,2,1,1,2,4,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,640,1,6,19,3
2,1,1,1,8,4,1,7,1,1,3,4,1,2,4,2,1,8000,0,0,0,0,1,0,0,0,1,1,0,0,0,640,1,6,19,3
4,1,1,1,5,2,1,4,1,1,3,1,1,2,4,2,1,4000,0,0,1,0,0,0,0,0,0,0,0,0,0,384,1,6,19,3
1,1,1,1,2,1,1,4,1,1,2,4,2,2,7,1,1,3500,0,0,1,1,1,0,0,0,1,1,0,0,0,163,1,6,20,3
3,1,1,1,2,1,1,4,1,1,4,1,2,2,5,2,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,20,3
3,1,1,1,3,1,1,4,1,1,4,2,1,2,5,2,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,20,3
3,1,1,1,6,1,1,10,1,1,3,5,2,2,4,2,1,1500,0,0,0,0,0,0,0,0,0,1,0,0,0,489,1,6,20,3
3,1,1,2,5,1,1,9,1,1,3,1,1,2,4,2,2,0,350,0,0,0,0,0,0,0,0,0,0,0,0,489,1,6,20,3
3,1,2,2,5,1,1,1,1,1,3,1,1,2,4,2,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,489,1,6,20,3
4,1,1,1,5,1,1,5,1,1,2,1,1,2,4,1,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,20,3
4,1,1,1,8,1,1,9,1,1,1,2,1,2,7,2,1,1200,0,1,1,1,1,1,1,0,1,1,0,0,0,163,1,6,20,3
4,1,1,2,3,1,1,11,1,1,2,2,1,2,4,2,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,20,3
4,1,1,4,2,1,1,5,1,1,3,1,2,2,5,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,20,3
4,1,2,2,3,1,1,7,1,1,2,2,1,2,5,2,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,20,3
4,1,2,4,2,1,1,10,1,1,2,1,1,2,4,2,1,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,20,3
4,1,3,4,2,1,1,4,1,1,3,1,2,2,5,2,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,20,3
4,1,4,4,2,1,1,10,1,1,1,2,2,1,4,2,1,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,20,3
5,1,1,2,3,3,1,1,1,1,3,1,1,2,1,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,163,1,6,20,3
5,1,2,2,3,3,1,1,1,1,4,1,1,2,1,2,5,5754,258,1,0,1,1,1,0,0,1,1,0,0,0,163,1,6,20,3
5,1,1,1,5,1,1,3,1,1,2,4,1,2,9,2,3,1000,0,0,1,1,1,0,0,0,0,1,0,0,0,888,1,5,21,2
1,1,1,1,2,1,1,9,1,1,3,2,2,2,6,2,1,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,6,22,3
1,1,1,1,3,1,1,12,1,1,3,2,1,2,6,2,1,2500,0,0,0,0,0,0,0,0,0,1,0,0,0,187,1,6,22,3
2,1,1,2,3,3,1,11,1,1,3,2,1,2,3,2,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,6,22,3
2,1,2,2,3,3,1,12,1,1,3,2,1,2,3,2,5,5754,258,0,0,0,0,0,0,0,1,1,0,0,0,187,1,6,22,3
5,1,1,1,3,1,1,6,1,1,3,2,1,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,6,22,3
5,1,1,1,4,1,1,10,1,1,3,2,2,2,6,2,1,4500,0,0,0,0,0,0,0,0,1,1,0,0,0,187,1,6,22,3
3,1,1,1,1,7,1,8,1,1,2,5,2,1,4,2,1,20000,0,0,0,0,0,0,0,0,0,1,0,0,0,161,1,6,23,3
2,1,1,3,2,2,1,4,1,1,4,1,2,2,5,2,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,166,1,6,24,3
2,1,2,3,2,2,1,6,1,1,4,1,2,2,5,2,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,166,1,6,24,3
2,1,3,3,2,2,1,6,1,1,4,1,2,2,5,2,1,300,0,0,0,0,0,0,0,0,0,1,0,0,0,166,1,6,24,3
2,1,1,1,2,1,1,6,1,1,3,1,2,1,4,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,180,1,6,25,3
2,1,1,1,4,1,1,2,1,1,4,2,1,2,6,1,1,4000,0,0,0,0,0,0,0,0,1,1,0,0,0,180,1,6,25,3
5,1,1,1,5,5,1,12,1,1,3,1,1,2,5,2,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,900,1,6,25,3
5,1,1,1,11,5,1,12,1,1,3,1,1,2,5,2,2,0,100,0,0,1,1,0,1,0,1,0,0,0,0,900,1,6,25,3
2,1,1,1,2,2,1,4,1,1,3,1,2,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1,5,26,2
2,1,1,1,3,2,1,9,1,1,2,2,1,2,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,234,1,5,26,2
4,1,1,1,5,2,1,3,1,1,2,1,1,1,4,2,1,800,0,0,1,0,0,0,0,0,0,0,0,0,0,468,1,5,26,2
1,1,1,1,5,2,1,12,1,1,4,1,1,1,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,418,1,5,27,2
3,1,1,1,5,1,1,5,1,1,2,1,1,1,4,2,1,5000,0,0,1,0,0,0,0,0,0,0,0,0,0,209,1,5,27,2
1,1,1,1,4,1,1,9,1,1,2,2,2,2,6,2,5,5754,258,1,0,1,1,0,1,1,1,1,0,0,0,205,1,5,28,2
2,1,1,1,5,2,1,10,1,1,4,1,1,2,9,2,3,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,615,1,5,28,2
2,1,1,1,11,2,1,10,1,1,4,1,1,2,9,2,3,0,0,1,1,1,1,0,1,1,1,1,0,0,0,615,1,5,28,2
2,1,1,1,3,2,1,10,1,1,3,2,1,2,5,2,1,5000,0,0,0,1,0,0,0,0,0,0,0,0,0,206,1,7,29,4
3,1,1,1,3,2,1,6,1,1,3,2,1,2,7,2,1,300,0,0,1,0,0,0,0,0,0,0,0,0,0,157,1,6,30,3
4,1,1,1,13,2,1,1,1,1,2,1,1,2,9,2,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,314,1,6,30,3
4,1,1,2,3,2,1,3,1,1,3,2,1,2,4,1,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1,6,30,3
4,1,2,2,3,2,1,8,1,1,3,2,1,2,4,1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1,6,30,3
1,1,1,1,2,2,1,3,1,1,4,1,2,2,4,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,202,1,7,31,4
1,1,1,1,3,2,1,99,1,1,9,1,1,2,4,2,1,9999999,0,0,0,0,0,0,0,0,0,0,0,0,0,202,1,7,31,4
1,1,1,1,7,2,1,99,1,1,2,2,1,2,4,1,3,1500,0,1,0,0,0,0,0,0,0,1,0,0,0,404,1,7,31,4
4,1,1,1,3,1,1,12,1,1,9,2,1,2,4,2,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,202,1,7,31,4
4,1,1,1,9,1,1,99,1,1,2,2,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,808,1,7,31,4
5,1,1,1,3,4,1,99,1,1,3,1,1,1,4,2,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,202,1,7,31,4
5,1,1,1,4,4,1,12,1,1,3,2,2,1,4,2,1,40000,0,0,0,0,1,0,0,0,1,0,0,0,0,202,1,7,31,4
1,1,1,2,3,2,1,11,1,1,3,1,1,2,4,1,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,5,32,2
1,1,2,2,3,2,1,12,1,1,4,2,1,2,4,2,1,120,0,0,0,0,0,0,0,0,0,1,0,0,0,187,1,5,32,2
2,1,1,1,3,2,1,5,1,1,4,2,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,1,0,0,0,187,1,5,32,2
