VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,FAC_DEL,DOM,EST,UPM,FAC_DEL_AM
5,1,1,1,2,1,14,1,5,1,1,4,1,2,2,4,2,1,178,1,5,107,178
5,1,1,1,4,1,14,1,11,1,1,1,2,2,2,5,2,1,202,1,6,45,202
2,1,1,1,2,3,14,1,11,1,1,3,1,2,2,3,2,1,170,1,4,106,169
2,1,1,1,8,5,14,1,10,1,1,2,2,1,2,7,2,1,1225,1,5,52,1218
1,1,2,2,4,1,14,1,1,1,1,1,2,2,2,4,2,1,147,1,4,7,146
3,1,1,1,6,1,14,1,12,1,1,4,2,2,2,3,2,1,404,1,6,105,404
1,1,1,1,1,1,14,1,5,1,1,1,1,2,1,4,2,1,149,1,5,54,149
2,1,1,1,10,1,14,1,10,1,1,2,2,1,2,9,2,1,180,1,5,103,180
3,1,1,2,4,4,14,1,4,1,1,4,2,1,2,7,2,5,178,1,4,256,178
5,1,1,1,7,1,14,1,1,1,1,2,8,1,2,5,1,5,404,1,6,45,404
5,1,1,1,3,1,14,1,4,1,1,2,2,1,2,9,2,1,164,1,4,251,163
1,1,1,1,2,2,14,1,7,1,1,4,1,2,1,4,2,1,178,1,4,256,178
4,1,1,1,4,1,14,1,1,1,1,2,2,2,2,6,1,1,172,1,4,104,173
3,1,1,1,2,1,14,1,11,1,1,1,1,2,2,5,2,1,202,1,6,105,202
3,1,1,1,5,3,14,1,10,1,1,3,1,1,2,7,2,1,688,1,4,104,692
2,1,1,1,2,1,14,1,5,1,1,3,2,1,2,6,2,1,172,1,4,104,173
5,1,2,2,3,1,14,1,11,1,1,3,3,1,2,4,2,1,180,1,4,30,180
2,1,2,2,2,3,14,1,8,1,1,4,1,1,2,5,2,1,166,1,5,29,165
5,1,1,1,9,1,14,1,4,1,1,2,2,1,2,7,2,3,360,1,5,75,362
2,1,1,1,9,1,14,1,1,1,1,1,1,1,2,3,2,5,214,1,6,109,214
5,1,1,1,10,1,14,1,2,1,1,2,2,1,1,4,1,3,193,1,4,44,193
5,1,1,1,2,8,14,1,7,1,1,4,1,1,2,6,2,1,172,1,4,104,173
4,1,1,2,2,2,14,1,2,1,1,4,1,2,2,6,2,2,168,1,5,145,168
3,1,1,1,9,3,14,1,11,1,1,4,1,1,2,3,2,1,504,1,5,145,504
5,1,1,1,14,1,14,1,4,1,1,4,2,1,1,4,2,2,193,1,4,44,193
1,1,1,1,2,2,14,1,11,1,1,2,1,2,1,4,2,1,172,1,6,191,172
1,1,1,1,2,2,14,1,12,1,1,4,3,2,2,8,2,1,130,1,4,200,130
1,1,1,1,2,6,14,1,5,1,1,4,1,2,2,4,2,1,191,1,4,175,192
5,1,1,1,3,1,14,1,2,1,1,3,2,1,2,3,2,1,167,1,4,247,167
2,1,1,1,2,1,14,1,7,1,1,2,1,2,2,4,2,1,180,1,6,198,180
1,1,1,1,8,4,14,1,12,1,1,1,2,1,2,7,1,3,772,1,6,47,772
5,1,1,1,9,1,14,1,6,1,1,2,2,1,2,4,1,5,190,1,4,40,191
5,1,1,1,3,1,14,1,7,1,1,4,1,1,2,9,2,1,197,1,5,144,197
4,1,1,1,3,2,14,1,12,1,1,1,1,1,2,9,2,1,180,1,4,30,180
2,1,1,1,9,2,14,1,6,1,1,2,2,1,2,9,2,3,340,1,4,249,340
1,1,1,1,9,4,14,1,99,1,1,9,2,1,2,3,2,5,552,1,5,125,552
3,1,2,2,4,4,14,1,11,1,1,4,2,1,2,7,2,5,178,1,4,256,178
4,1,1,1,2,1,14,1,4,1,1,2,5,2,2,4,2,1,176,1,5,197,177
5,1,1,1,11,2,14,1,6,1,1,3,1,1,2,7,2,2,342,1,6,128,340
3,1,1,1,2,1,14,1,11,1,1,3,1,2,1,4,2,1,174,1,5,252,173
4,1,2,2,2,2,14,1,9,1,1,4,1,2,2,6,2,1,168,1,5,145,168
2,1,2,2,3,3,14,1,9,1,1,3,1,1,2,7,2,5,176,1,5,197,177
1,1,1,1,10,1,14,1,8,1,1,3,2,1,2,6,2,3,180,1,5,103,180
5,1,1,1,8,1,14,1,10,1,1,1,2,1,2,6,2,1,362,1,5,187,362
2,1,1,1,7,1,14,1,8,1,1,2,5,1,2,4,2,1,203,1,6,146,203
3,1,1,1,3,1,14,1,10,1,1,4,2,1,2,3,2,1,172,1,6,191,172
3,1,1,1,1,1,14,1,9,1,1,4,1,2,1,4,1,1,190,1,4,40,191
11,1,1,1,11,3,14,1,5,1,1,4,1,1,2,3,2,1,573,3,3,298,180
4,1,1,1,8,1,14,1,3,1,1,2,4,1,2,4,1,1,314,1,5,4,314
1,1,1,1,3,1,14,1,2,1,1,3,2,1,2,4,2,1,202,1,6,45,202
3,1,2,2,2,1,14,1,8,1,1,4,1,2,2,4,2,1,190,1,4,40,191
4,1,1,1,9,1,14,1,99,1,1,2,2,2,2,3,2,5,266,2,2,278,180
3,1,1,2,2,1,14,1,8,1,1,4,1,2,2,4,2,1,190,1,4,40,191
5,1,3,3,6,4,14,1,6,1,1,2,1,1,2,5,2,1,764,1,6,101,764
1,1,1,1,2,1,14,1,6,1,1,3,1,2,2,4,2,5,219,1,4,102,220
1,2,1,1,2,1,14,1,2,1,1,3,1,2,2,4,2,1,178,1,4,256,178
4,1,1,1,9,1,14,1,10,1,1,3,2,1,2,4,2,3,528,1,5,197,531
4,1,1,2,2,1,14,1,11,1,1,4,1,2,1,4,2,1,181,1,4,190,182
12,1,1,1,2,3,14,1,4,1,1,3,1,2,2,4,2,1,216,2,1,277,180
5,1,1,1,2,1,14,1,12,1,1,3,1,2,2,4,2,1,133,2,2,278,180
3,1,1,1,5,1,14,1,6,1,1,2,1,1,2,6,1,1,167,1,4,77,168
2,1,1,1,1,1,14,1,10,1,1,4,1,2,1,4,2,1,180,1,4,30,180
