VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,EST_DIS,UPM_DIS,DOMINIO,ESTRATO,FAC_DEL_AM,CLUSTERS
1,1,1,1,8,2,14,1,5,1,1,2,2,1,2,4,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,627,5,21,1,3,624,0
1,1,1,1,8,2,14,1,2,1,1,1,4,1,2,7,1,1,13000,0,1,1,1,1,1,0,1,1,1,0,0,0,378,5,64,1,3,376,0
4,1,1,1,2,2,14,1,2,1,1,4,1,2,2,4,2,1,3000,0,0,1,1,1,1,1,1,1,1,0,0,0,180,5,66,1,3,181,0
19,1,1,1,2,1,14,1,8,1,1,4,2,2,2,4,2,1,1300,0,1,1,1,1,1,1,1,1,1,0,0,0,152,2,275,2,3,0,0
2,1,1,1,2,2,14,1,10,1,1,4,1,2,2,5,1,1,110,0,0,0,0,0,0,0,0,1,1,0,0,0,189,5,92,1,3,189,0
1,1,2,2,4,1,14,1,6,1,1,4,2,2,2,4,2,1,800,0,1,1,1,1,0,0,0,1,1,0,0,0,173,5,125,1,3,173,0
5,1,1,1,2,1,14,1,2,1,1,1,1,2,2,5,2,1,5000,0,0,0,1,0,0,0,0,0,1,0,0,0,118,1,276,2,2,0,0
3,1,2,2,2,1,14,1,11,1,1,2,1,2,2,4,2,1,4000,0,0,0,0,0,0,0,0,0,1,0,0,0,302,4,249,1,2,297,0
1,1,1,1,2,2,14,1,2,1,1,4,1,2,2,8,2,1,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,209,5,21,1,3,208,0
2,1,1,1,2,2,14,1,10,1,1,4,1,2,2,1,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,180,5,91,1,3,181,0
5,1,1,1,10,2,14,1,4,1,1,2,1,1,2,4,2,5,4853,227,0,0,0,0,0,0,0,0,1,0,0,0,360,5,91,1,3,362,0
2,1,2,2,3,1,14,1,8,1,1,2,1,1,2,6,2,5,4853,227,0,1,1,1,0,0,0,1,0,0,0,0,170,5,268,1,3,169,0
