VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,DOMINIO,ESTRATO,EST_DIS,CVE_ENT,CVE_MUN,CLUSTERS
2,1,1,1,9,2,1,2,42,14,3,1,1,2,2,1,2,3,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,1,1,1
1,1,1,1,3,1,1,1,48,14,2,1,1,3,1,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
20,1,4,4,2,1,1,2,30,14,2,1,1,2,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,1,1,1
4,1,1,2,3,1,1,1,59,14,6,1,1,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
4,1,1,1,2,1,1,1,38,14,1,1,1,9,9,2,2,99,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,4,233,14,120,1
5,1,2,2,4,4,1,2,25,14,1,1,1,9,2,2,2,4,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,4,3,1,1,1
5,1,1,1,2,1,1,1,68,14,4,1,1,4,1,2,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1
8,1,1,1,10,1,1,1,30,14,12,1,1,3,2,1,2,3,2,5,1,0,0,1,0,0,0,0,0,0,0,0,3,2,11,1,1,1
1,1,3,3,2,2,1,2,40,14,4,1,1,3,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1
5,1,1,3,10,3,1,1,18,14,12,1,1,2,1,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
3,1,1,1,5,1,1,1,33,14,10,1,1,3,1,1,2,8,1,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
5,1,1,2,4,4,1,2,25,14,7,1,1,2,2,2,1,99,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,1,1,1
5,1,1,1,2,1,1,2,52,14,6,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
3,1,1,1,3,2,1,2,57,14,10,1,1,4,2,9,2,4,2,1,1,0,0,1,0,0,0,1,1,0,0,0,1,3,2,1,1,1
2,1,1,1,3,5,1,2,20,14,3,1,1,4,2,9,2,8,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
2,1,1,1,2,3,1,2,29,14,5,1,1,4,1,2,2,6,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,3,2,1,1,1
5,1,1,1,4,2,1,2,27,14,6,1,1,2,2,1,2,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,2,3,10,1,5,1
3,1,1,1,7,1,1,1,29,14,7,1,1,2,4,9,2,6,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,1,1,1
5,1,1,1,2,2,1,2,27,14,11,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,3,10,1,5,1
2,1,1,2,2,2,1,1,41,14,7,1,1,4,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
3,1,1,1,2,2,1,2,47,14,2,1,1,3,1,2,2,5,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,1,1,1
5,1,1,2,3,1,1,2,52,14,11,1,1,1,3,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
4,1,1,1,3,1,1,2,53,14,10,1,1,3,2,9,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
4,1,2,2,2,2,1,2,44,14,2,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
2,1,1,1,4,5,1,2,20,14,10,1,1,4,2,1,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
3,1,1,1,2,3,1,1,28,14,5,1,1,3,2,2,2,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4,3,1,1,1
4,1,4,5,4,2,1,2,44,14,2,1,1,4,2,1,2,8,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
6,1,1,1,7,2,1,2,35,14,6,1,1,9,9,9,2,4,2,1,1,1,1,1,1,1,1,1,1,0,0,0,3,2,11,1,1,1
5,1,1,1,2,3,1,1,18,14,3,1,1,2,1,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
5,1,2,3,10,3,1,1,18,14,1,1,1,3,1,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
15,1,1,1,10,1,1,1,31,14,7,1,1,2,1,1,2,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,3,2,11,1,1,1
1,2,1,1,9,1,1,1,35,14,12,1,1,2,2,1,2,3,2,3,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,1,1,1
4,1,1,1,2,1,1,2,53,14,5,1,1,1,5,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
4,1,1,1,11,2,1,2,25,14,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,0,1,1,0,0,0,1,3,2,1,1,1
4,1,1,1,7,1,1,2,53,14,3,1,1,9,4,9,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
2,1,1,1,9,4,1,1,21,14,6,1,1,2,1,1,2,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,1,1,1
20,1,1,2,4,1,1,2,30,14,12,1,1,3,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,1,1,1
19,1,1,1,2,1,1,1,41,14,99,1,1,2,1,2,2,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,11,1,11,1
4,1,2,2,3,1,1,1,59,14,4,1,1,4,2,9,2,4,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,1,1
3,1,2,2,3,1,1,1,29,14,4,1,1,3,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
5,1,1,1,15,1,1,1,30,14,4,1,1,9,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,1,1,1
2,1,1,2,2,1,1,1,64,14,11,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
2,1,1,1,6,5,1,2,20,14,7,1,1,2,4,1,2,7,2,5,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1
5,1,1,1,2,1,1,1,60,14,9,1,1,1,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
1,1,2,2,2,1,1,1,48,14,6,1,1,3,1,2,2,4,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
1,2,1,1,4,1,1,1,35,14,7,1,1,1,2,1,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
2,2,1,1,11,3,1,2,19,14,12,1,1,2,1,1,2,4,2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,1
2,1,1,1,5,2,1,2,23,14,4,1,1,2,1,1,2,7,2,3,0,0,1,1,0,0,0,1,1,0,0,0,1,2,1,1,1,1
2,1,1,1,2,2,1,2,43,14,10,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
5,1,1,1,2,4,1,2,25,14,6,1,1,3,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,1,1,1
1,3,2,2,2,1,1,2,32,14,4,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
4,1,1,5,4,2,1,2,44,14,12,1,1,2,2,1,2,8,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
2,1,1,1,4,1,1,2,38,14,6,1,1,4,2,1,2,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,1,1,1
1,1,1,1,3,3,1,2,22,14,6,1,1,4,2,9,2,7,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,1,1,1
3,1,3,3,2,2,1,2,28,14,1,1,1,4,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
5,1,1,2,2,1,1,1,23,14,12,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
3,1,1,1,2,1,1,1,59,14,2,1,1,4,2,2,2,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,1,1,1
1,1,3,3,3,2,1,2,45,14,99,1,1,3,1,9,2,6,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,3,2,1,1,1
2,1,1,1,10,2,1,2,43,14,5,1,1,2,2,1,1,99,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,1,1,1
1,1,1,1,3,2,1,2,51,14,5,1,1,2,2,9,2,9,2,5,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,1,1,1
1,1,1,2,2,1,1,1,48,14,12,1,1,3,4,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,5,1,5,1
20,1,1,4,2,1,1,2,30,14,9,1,1,2,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,1,1,1
3,1,1,2,3,1,1,1,29,14,11,1,1,3,2,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
20,1,1,2,9,1,1,2,30,14,12,1,1,1,1,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,1,1,1
1,3,1,2,2,1,1,2,32,14,99,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
4,1,1,1,5,2,1,1,24,14,11,1,1,4,1,1,2,9,1,3,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,1
3,1,1,1,2,1,1,1,49,14,2,1,1,4,1,2,2,3,2,5,0,1,1,1,0,0,0,0,0,0,0,0,1,3,2,1,1,1
3,1,1,2,2,1,1,1,33,14,11,1,1,3,3,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
4,1,2,2,4,1,1,2,43,14,5,1,1,1,2,2,2,8,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,1
2,1,1,1,4,2,1,2,39,14,7,1,1,9,2,2,2,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,9,1,1,1
14,1,1,1,9,4,1,2,23,14,3,1,1,2,3,1,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,2,593,32,34,0
1,1,1,3,3,2,1,2,45,14,10,1,1,3,1,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
5,1,1,1,4,3,1,2,23,14,8,1,1,2,2,2,2,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1
2,2,1,1,10,3,1,2,19,14,12,1,1,4,8,1,1,99,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
3,1,1,1,9,2,1,2,57,14,6,1,1,1,2,1,2,8,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
3,1,1,1,2,1,1,1,29,14,4,1,1,4,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
1,3,1,1,4,1,1,2,32,14,2,1,1,2,2,1,2,4,2,1,0,1,1,0,0,0,0,1,1,0,0,0,1,3,2,1,1,1
4,1,1,2,13,2,1,2,19,14,8,1,1,1,1,1,2,5,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
2,1,1,1,5,3,1,1,27,14,9,1,1,4,1,1,2,3,2,1,1,0,0,0,0,0,1,1,1,0,0,0,1,3,2,1,1,1
5,1,1,1,10,1,1,1,27,14,8,1,1,1,1,1,2,4,2,5,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,1,1
2,1,1,2,2,5,1,2,20,14,10,1,1,4,2,1,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
3,1,1,1,6,2,1,1,23,14,7,1,1,3,3,2,2,9,2,1,1,1,1,1,1,0,0,1,1,0,0,0,1,4,3,1,1,1
5,1,3,3,10,3,1,1,18,14,1,1,1,3,1,1,2,6,2,3,0,1,0,0,0,0,0,1,1,0,0,0,1,3,2,1,1,1
3,1,1,1,10,1,1,1,56,14,12,1,1,3,1,1,2,4,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,1,1,1
5,1,1,2,5,1,1,1,28,14,9,1,1,2,6,1,2,8,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,1,1,1
3,1,2,2,2,1,1,1,47,14,4,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,1,1
4,1,1,2,2,3,1,1,40,14,9,1,1,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
1,1,1,1,10,1,1,2,35,14,7,1,1,2,1,1,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1
2,1,1,1,4,1,1,1,40,14,10,1,1,4,2,1,2,4,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,4,3,1,1,1
4,1,1,1,13,1,1,2,53,14,5,1,1,1,1,1,2,4,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,1,1,1
4,1,1,2,4,1,1,2,43,14,1,1,1,4,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
2,1,2,3,3,2,1,2,36,14,4,1,1,9,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
