CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,TMODVICC_2017
1,1,6,15,16,0,1,4,5,4,4,8,7,6,3,7,8,57,1
1,1,6,15,17,26,20,14,18,13,8,7,13,6,4,7,12,122,1
1,1,6,15,18,2,3,4,6,3,5,6,4,4,4,2,5,46,1
1,1,6,15,19,0,0,0,0,0,0,1,0,0,1,5,1,8,1
1,1,6,15,20,35,40,32,38,59,66,55,65,53,79,68,49,604,1
1,1,6,15,10,3,1,6,8,6,10,14,8,8,2,1,6,70,1
1,1,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,6,16,16,205,138,204,149,183,186,190,208,239,240,214,197,2148,1
1,1,6,16,17,101,81,102,98,94,100,125,119,147,158,169,121,1314,1
1,1,6,16,18,217,172,184,184,200,182,181,232,218,230,210,182,2175,1
1,1,6,16,19,0,0,0,0,0,0,0,0,0,0,6,1,7,1
1,1,6,16,20,44,46,54,56,75,115,98,102,134,141,132,102,1055,1
1,1,6,16,10,276,268,255,240,308,328,346,344,347,324,349,332,3441,1
1,1,6,16,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,7,17,21,6,1,10,3,3,7,2,4,2,14,14,7,67,1
1,1,9,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,9,16,28,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,1,9,16,10,0,1,1,0,0,0,0,0,0,0,0,0,2,1
1,1,9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,8,15,22,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,8,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,8,15,24,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,1,8,15,10,0,1,0,0,1,2,0,0,2,0,1,0,7,1
1,1,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,8,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,8,16,10,0,0,0,0,0,2,0,0,0,0,1,0,3,1
1,1,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,8,9,8,10,13,13,14,22,15,21,11,8,10,8,145,1
1,1,3,8,8,3,3,7,5,3,13,6,6,3,7,9,2,64,1
1,1,3,8,10,125,120,169,141,229,225,229,270,230,225,198,155,2191,1
1,1,3,8,6,0,0,0,0,0,0,0,0,0,0,0,15,15,1
1,1,3,9,9,0,0,0,3,0,4,3,2,1,1,0,0,14,1
1,1,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,9,10,38,45,34,35,34,82,53,58,64,68,78,46,597,1
1,1,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,6,8,0,0,0,2,3,3,0,3,3,3,3,2,22,1
1,1,2,6,9,1,0,0,1,0,2,0,1,0,2,0,0,6,1
1,1,2,6,10,0,0,2,1,4,4,2,1,3,2,1,1,21,1
1,1,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,7,10,12,9,15,6,6,7,5,10,6,8,8,15,95,1
1,1,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,22,35,37,27,48,63,64,76,57,55,42,47,551,1
1,1,0,1,1,146,110,135,143,216,281,234,247,270,275,300,250,2461,1
1,1,0,2,2,10,7,2,2,3,8,2,12,16,5,8,8,73,1
1,1,0,3,3,48,66,54,60,76,118,114,130,120,19,84,69,910,1
1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,4,5,6,5,10,4,11,21,19,46,29,21,21,13,200,1
1,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,5,14,15,1,0,0,2,0,1,0,0,0,0,1,0,4,1
1,1,1,5,7,14,7,7,11,12,14,18,10,12,23,21,12,147,1
1,1,4,10,11,79,85,93,73,153,239,145,222,222,187,188,164,1771,1
1,1,4,11,12,3,5,2,1,3,1,1,5,3,0,1,0,22,1
1,1,4,12,13,9,15,15,15,19,26,15,19,26,25,27,10,212,1
1,1,4,13,14,238,268,315,272,374,428,328,352,352,493,350,343,3875,1
1,2,6,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,6,15,17,0,1,0,0,0,0,0,0,0,0,0,1,2,1
1,2,6,15,18,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,2,6,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,6,15,20,0,1,0,1,0,0,0,0,0,0,0,0,2,1
1,2,6,15,10,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1,2,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,6,16,16,4,3,4,5,2,4,5,2,3,4,1,5,38,1
1,2,6,16,17,1,0,1,0,0,3,1,0,1,0,3,0,9,1
1,2,6,16,18,1,2,2,2,0,0,1,2,0,0,0,0,9,1
1,2,6,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,6,16,20,0,0,0,1,1,0,1,0,0,1,0,0,4,1
1,2,6,16,10,9,8,8,8,8,1,1,4,6,2,2,3,51,1
1,2,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,7,17,21,0,1,1,0,0,2,0,0,0,3,2,3,12,1
1,2,9,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,8,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,8,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,8,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,8,15,10,0,0,1,0,0,1,0,0,0,1,0,0,3,1
1,2,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,8,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,8,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,3,8,9,1,0,0,0,0,1,0,0,0,1,0,0,2,1
1,2,3,8,8,0,0,0,0,0,0,1,0,0,1,0,1,3,1
1,2,3,8,10,7,4,1,0,1,4,12,5,7,1,6,2,43,1
1,2,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,3,9,10,1,0,1,1,0,1,3,1,2,2,2,0,13,1
1,2,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,2,6,8,0,0,1,0,0,1,0,0,0,0,0,0,2,1
1,2,2,6,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,2,2,6,10,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,2,7,10,0,0,0,1,3,0,1,1,4,0,0,1,11,1
1,2,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1
1,2,0,1,1,0,4,2,2,5,4,6,6,4,0,1,3,37,1
1,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,2,0,3,3,1,1,1,0,0,0,2,0,0,0,1,0,5,1
1,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,4,5,0,0,0,2,1,1,2,1,0,1,0,0,8,1
1,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,5,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,1,5,7,0,0,0,1,1,1,1,2,0,1,0,0,7,1
1,2,4,10,11,3,0,1,3,3,2,4,3,6,3,2,1,28,1
1,2,4,11,12,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,2,4,12,13,0,0,0,0,0,0,1,3,2,0,0,0,6,1
1,2,4,13,14,8,6,6,5,9,6,4,9,10,7,1,6,69,1
1,3,6,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,6,15,17,0,0,0,0,0,1,0,0,2,0,0,0,3,1
1,3,6,15,18,1,0,0,0,0,0,0,1,1,0,0,0,2,1
1,3,6,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,6,15,20,0,0,0,0,0,0,1,0,2,0,0,0,3,1
